text,label,notes
"
I’ll be honest, throw it away.

Even a small infestation is a pain in the ass to deal with. I recently had one, and I’m still proper annoyed. Heck, I sprayed a small jade plant with rubbing alcohol, then let it soak in a bowl of warm water with Dawn, and rubbing alcohol. I quarantined the plant, then two days later I found a small mealie bug on one of the leaves. HOW?? I threw away a bunch of props. I cut this jade to free it from its roots, soaked it again, and will be repotting (we’ll see if it lives 🤦🏻‍♀️). I checked all my plants. Cleaned everything. Threw away all the soil the plants got near.

Mealies move in such random ways. So far there’s none on the plants right next to the jade and props. But, there were two small mealies on one of my alocasia props, on a shelf above the jade 🤷🏻‍♀️",experience_sharing,
Possibly powdery mildew. Could hang sulphur paper from the leaves but sad to say I’d start again and add vermiculite to your soil to manage moisture.,recommendation,
"This could be a bit unpopular but if you want to recover the plant, you could do a few rounds - remove, monitor (and remove), remove again (because it's hard to remove everything the first time) and then apply a preventative:

take several large size alcohol wipes (not the small dabby kind but the hankerchief sized ones), wipe off all the white stuff you see. Wipe down the stems top to bottom, the tops and bottoms of every leaf, do several once-overs. You need isopropyl because water may make removal harder (they stick).

you can also try spraying down with mild soapy water (one or two drops of dishwasher liquid to 400ml of water), then use a rag and wipe all of it off. This is probably the tedious part but based on the plant size, it's still doable. The part that takes the most time is finding the hidden white crap, which is probably stuck all over.

would recommend that you then come back to this plant a few hours later and check again, and again for the next few days. Just wipe down every time. Some may come back too, just keep wiping/removing. There are different stages to a mealybug life cycle, so you may not have completely gotten everything on day 1. Certain stages aren't as destroyable by soap sprays and so on.

After a few rounds of this, you could also do an insecticide soak of the soil (look up recommendations for any brand that works for mealy bugs), and then spray the leaves too.

Keep monitoring and wiping down/ removing.

Apply to other infected plants.

Other things to look out for:

- often times, its the ants that bring mealybugs and stick them on plants. if you want to, locate and remove ants on the plants, use borax traps etc. Because they will keep trying to bring the mealybugs back - if they successfully achieved such a big infestation the first time, this is their big score, so it takes repeated work to remove.

- it's really whether or not you want to invest the time, and even then a successful result doesn't mean they won't come back. This might be a higher level of attention that you're not used to giving to just one plant. So if you have a lot of plants or not a lot of time, that's why people are saying to throw it away.",recommendation,
A cleansing fire extinguished by holy water might do,recommendation,
"the remedy is called fire, so what you’re gonna do, is pour alcohol on it, then light a lighter on one of the leaves with said alcohol, throw the plant into a brick container, and leave it there until its ash.",recommendation,
"Isolate affected plants immediately, and drown the crap out of them. Search reddit for Mealie bugs.",recommendation,
"Mealybugs!

I actually think these are one of the easier pests to deal with - and easier to see so more satisfying to kill 😅

And you can better gauge your progress / feel good when they are eradicated. Plus treating for these will take care of any mite / help be preventive for thrip issues you might have starting that you can’t see yet.

It just takes some dedicated attention from you for an afternoon (or a few afternoons depending on how many plants and how much time you can spend treating every leaf individually).

Disposable gloves, roll of paper towels, couple bottles of 70% isopropyl alcohol (or a big jug of it if you have it!), water, and garbage bag (or gallon bag that you seal and then throw in garbage bag and seal).

You will be rubbing down every single leaf, top and bottom, nooks and crannies (add q-tips if/where needed) of your infested plants with paper towels soaked in the isopropyl alcohol and water - I’ve seen different ratios recommended, I’ve seen people do straight alcohol. You know your plants best so can test out what works on a leaf and adjust as needed to dilute with more water or to use a stronger amount of alcohol.

Keep switching up to fresh paper towels doused with alcohol and discard the used paper towels between every few leaves. Seal away mealy bug wiped paper towels in gallon bags or trash bags. The alcohol should kill them but you could be wiping off microscopic eggs for any houseplant pests that survive too so that’s why you’re sealing them away!

You can also use castille soap in water mix if you don’t have alcohol on hand or fear alcohol will be too much for all your plants.

Always switch to new paper towels and change gloves entirely between plants.

And make sure to do this somewhere away from windows in your home or outside in the shade where the leaves of your plants are not going to have sun shining on them while you are treating them!

Then a weekly follow up to make sure you’ve got them all and a new infestation can’t break out because of a missed couple of eggs.

Captain Jack’s Spinosad 0.005% spray is also good - just make sure to do it out of the sun, drench the underside of the leaves, and if you have a higher concentration in the bottle you buy triple check and ensure that you are diluting it (I have seen some horror stories here - plants people hit with 0.05% or even in one case 0.5% and that poor person’s plant leaves looked like they’d been transformed into the surface of the moon)",recommendation,
"You are not doing anything wrong. While I do love a tradascantia plant, they are tricky to keep in pots because, in nature, they are a ground cover type of plant and they spread horizontally. They are not really conducive to being held in a pot unless you are constantly pruning and shaping. You can prune off the long stems and plant them right back into the pot to make it look full. This plant is very forgiving and responds really well to pruning.",explanation,
I have these. Not enough sun. They really need it. Also if the plant is old its natural for them. Just cut the bad leaves.,recommendation,"contains experience sharing and explanation, but they serve as support for the recommendation. So final label is recommendation."
"oh i feel this so much, my first monstera looked like this before i realized she wanted way more light 🍃 try moving her right by a window, does that pot have drainage?",information_seeking,
Mine seems to be doing fine in a spot where the sun hits her all day long,experience_sharing,
"oh i totally feel you on the sentimental pressure, dracaenas are tough though and usually just hate tap water so try using filtered water for a bit. does your pot have good drainage? 🌿",information_seeking,
You 100% have thrips.,explanation,
!thrips,explanation,
"
Not-so-fun fact: thrips can fly",explanation,
"Thrips!!!! I just had them on some of my plants. I won’t lie, I caught it much earlier than you did so what I did might not work, but here’s how I treated mine.

I washed & repotted all affected or suspected plants and any plants that were nearby or in contact with any infected or suspected specimens. I used the neem oil fungicide spray you can get from stores (in the US at least) as a first defense but didn’t feel like it did anything. About a week later I applied beneficial mites (sf nematodes and swirskii) to all plants in my collection. These worked tremendously well and I had a lot of fun watching the mites patrol the plants. They gave me a lot of mental security too lol.

I’m thrip free at this point and all my plants have recovered. I highly recommend beneficials but a lot of ppl on here prefer systemic pesticides. You do have to choose one or the other (systemics kill the beneficials) and that will depend on your set up and what you are comfortable with :)",experience_sharing,
Define plenty of rain - she looks dry as heck and containers often need 2x as much water as you think because they dry out,explanation,
"After a transplant they will need extra water. This looks very dry. You need to give it a full gallon or let it soak in water. I have tons of currant, raspberry, hazelnut, blackberries we transplant and moisture is a big deal.",recommendation,
"It would do better in the ground if you have somewhere to plant it.
Also, some varieties are early finishers while some go until fall. Do you know what kind of blackberry bush it is.
I’m is SE Louisiana and all of our wild ones are basically done for the season, but my thornless is still producing. Though it’s a planted not potted",explanation,"this comment contains information seeking, explanation, and experience sharing. However, the intended purpose of the experience sharing seems to be to support the explanation, that the variety of blueberry affects when they finish. The question ""do you know what kind of blackberry bush it is"" is asked, but the commenter doesn't seem to really want the answer. They just want the commenter to be aware that this can be a factor.  Therefore, the label I selected is explanation."
"I'm just an amateur, but my guess would be mold. Get that soil dried out. I have a fan on my soil to expedite the process. I live in Washington and deal with very similar problems often.",recommendation,
"The fungus is not harmful.

Are you checking the soil for moisture before you decide to water?

How long does it take the soil to dry out?

These guys hate for their roots to remain moist.",information_seeking,
The most common reason for Ficus elastica to drop leaves is lack of light.,explanation,
"This looks like mealy bugs! Nasty pest.
Best way for me is I take a q-tip and rubbing alcohol and spot treat. Check every few days. Also, immediately isolate the plant and check all the other plants too!",recommendation,
"Why did you decide to repot?

And are you positive the leaves were scorching or did it perhaps have something to do with being repotted?",information_seeking,
"It’s etiolated and needs more light, but I have a few plants where the leaves look like this when it has just been watered and the leaves are firm and full of water. I might be wrong ",explanation,
I wouldn’t say it’s dying. It looks like the flowers are just dying off. Flowers dying off is a natural part of the flower cycle. Besides the flowers is there something else making you think it’s not doing well?,information_seeking,
"Give him a stern lecture. If he doesn't listen, you'll need to do what I started to do. Carry your cat around with you in a baby carrier at all times.",recommendation,
"Nothing, that's his plant now",recommendation,
Just put a box beside it,recommendation,
"If you want natural solutions, pinecones are prickly and keep them away (and really cheap). They also dont love citric smells, so spent orange or lemon peels should also help (put in a tray not to alter soil pH). And some pinecones make this smell when fresh, so a mix of both should help wonders",recommendation,
"You can put different things in the pot to discourage your cat climbing inside. Some suggestions include:

foil laid over the soil

tape sticky side up

pine cones

Basically things that cats generally don't enjoy walking on.",recommendation,
"I would recommend to get some plants for your cat.

Mine loves cardamom the most.",recommendation,
"Spider plants are great cat sacrifice plants, most cats love them. They can produce and effect similar to catnip.",explanation,
"Your cat is a plant lover like yourself. Look at him, staring in awe at this majestic plant.

Give the cat some own edible plants like cat grass. Cats really like that.",recommendation,
Nothing. The plant has clearly accepted the cat as one of its own.,recommendation,
"What a bulky hulky snake plant! That’s a beast!

Short answer is, you can’t. Cats either obsess over plants or pay them no mind. Yours likes the plants. Henceforth, it will be an ongoing battle of Will. Good luck, you’re prob gonna lose lol! Just try to keep em in diff rooms.",recommendation,
"be careful she doesn’t eat it, they’re can be very harmful for them if ingested too much",recommendation,
i’ve seen people stick plastic forks with the prongs facing upwards in the soil to discourage laying in pots,recommendation,
"Shiny side up smooth foil. Fresh lemon slices.

They don’t usually appreciate either of those things and it will discourage him/her …. Eventually. Maybe. It does work. But cat, so sometimes it doesn’t.",recommendation,
"very toxic to cats and dogs so i’d definitely move that if i were you, it tolerates low light more than most so definitely take advantage of that and keep your pet safe",recommendation,
"
Keep it off the floor if possible",recommendation,
Got a kitten trying to do something similar. weave aluminum foil over the soil. cats don't like it. should quickly teach themotherwise. also spray bottle with water as a gentle reminder to get out,recommendation,
"Get more plants for your cat to enjoy. Share your space with them. Cats are barely domesticated and indoor cats, while healthier and safer, also don't get to spend as much time around plants.",recommendation,
"Sorry nothing can done except keep taking pictures!

(Remove it and place in a different area you kitty can't get too? Get you kitty their own garden of cat friendly plants like catnip , lemon grass, cat grasses like barely, oat grass , wheat grass, parsley is OK, rosemary is okay . There are more I cant remember)",recommendation,
"Get a catnip plant, redirect hostility.",recommendation,
Unfortunately if you’re going to have pets you should not under any circumstances have plants that are harmful to animals. Google which ones are poisonous and give them away or sell them.,recommendation,
I have pet grass that I sacrifice to my beasts. They leave my plants alone now. You could put some tin foil around the rim of the pot for a while to teach him to stay out.,recommendation,
"I can only keep my cat of of my plants if I give her something to distract her. When she was a kitten she would dig through my plants at night, until I bought her enough toys to entertain her all night (now she thankfully sleeps at night). She would munch on my monstera until I bought cat wheat for her to eat, etc. So my advice would be to buy something that will get your cat out of the plant, maybe a cat bed that the cat knows it can lay in all the time without any consequences. Good luck",experience_sharing,
"Circles of tape around the entire pot. They get stuck and don’t like it. After what seems like forever , they will hopefully move on.",recommendation,
Pine cones or tin foil always help me!,experience_sharing,
"My cats hate aluminum foil, you could roll up and scrunch some up in the pit. Not really pretty but will stop them and maybe can remove then.",recommendation,
"Holy hell that's an impressive snake plant!

Does the cat have any textures or materials (s)he hates? If yes, try putting that on soil. Mine, for example, hates the sound of plastic bags so if i had your problem i'd wrap a bag around the plants so it covers the soil and she'd stay away.

Edit: you could also stick some skewers in there without damaging the plant",recommendation,"Commenter asks a question, but isn't really expecting an answer. It's just to get the poster to think about textures their cat might hate."
"Beautiful photo beautiful plant beautiful cat. I have felt your pain. Tin foil resolved my issue.

Crumple up some tinfoil loosely and stick it in the plant pot. Don’t have to wedge it in there tight... just sort of crinkle-wrap it around the base of your plant stems and leave it in there, set on the top of the soil. My cat hate tinfoil. This immediately stopped them digging in the plant pots I didn’t want them in.",recommendation,"Commenter shares their experience, but they're using it to support their recommendation. Primarily, the commenter is telling the poster what to do."
Get plants for your cat. I have 2 boxes I rotate through so there is always fresh grass for them to eat. Otherwise one lets me know he knows which plants are pet safe.,experience_sharing,
"I covered the plant soil with a cheese cloth that i routinely keep moist, the cat hated getting wet, and the plant is always having a spa day.",experience_sharing,
"The only way to make sure it never goes in, is to try to train it TO go in. They’ll stay out just to spite you lol",explanation,
Throw some empty Amazon boxes out there.,recommendation,
I dunno that plant looks super fun to play in. Try wrapping tinfoil around the bottom for awhile. Or spray him with water when he touches it.,recommendation,
"Pine cones packed into the free space. Lets air and water circulate, but they don't like them.

Nice plant, btw.",recommendation,
"Its It's a lost cause, the adorable cat has claimed the majestic plant, you are no longer in charge of the situation (if as a cat owner you ever were..lol)",explanation,
put coffee grounds in the pot. it's good for the plant and cats don't like the bitter taste when they clean themselves after being in the pot. might take some days until the cat learns where the bad taste comes from,recommendation,
Get a big flower pot drip Trey and plant grass in it to sit in instead,recommendation,
Get him his own cat-safe plant that he can beat up and gnaw on. Preferably one with dangly stems and leaves. Make him his own little area with his dangly plant and some cat grass.,recommendation,
"I read if you want to keep a plant in a place with less light, get two and swap them out every two weeks or so so they both get some light and some time in the place you can enjoy them!",explanation,
I live in Northern California and I have mine indoors right up against an East facing window. my pots small but they’ve got a great deep purple color :),experience_sharing,
What zone?,information_seeking,
"I have some of these too and love them! Thanks for posting the experiment, very interesting and useful!

I live in UK and while the mild sun could still do its part I'm wondering if the colder temperature could effect it (not to mention the months of wet)...

Someone with experience on keeping them outside in colder/wetter temperature?

once again, thanks for your post!",information_seeking,
I love growing plants and anytime someone asks me for advice on their indoor plants the first thing I usually say is that plants prefer being outside. Outside is where they naturally thrive. The best way to have beautiful houseplants is rotating plants outside to inside.,explanation,
Don't forget them in a thunderstorm!! embarrassed laugh,recommendation,
My outdoor oxalis love their bright indirect light!,experience_sharing,
"Where do you live?

Mine loves the sun but like I have to keep turning her or she gets super lobsided! Would love some outdoor sun, but I am unsure if where I am would be suitable?",information_seeking,
What light meter do you have? And do you recommend it?,information_seeking,
My indoor one just got moved outside last week. Looks like he prefers it too. Wonder if it will live through winter? Zone 8?,information_seeking,
"Give them full spectrum light, they’ll bloom just like their outdoor buddies",recommendation,
Your pots are so my style! Where are they from?!,information_seeking,
They really thrive in a lot of sun. I put mine outside until just a bit during winter. When I had it inside all the time it really suffered.,experience_sharing,
I keep mine indoors-I have it planted in a Wallygrow higher up on a south-eastern facing window and it's purple as can be! I've got several sets of flowers on it this year too-hoping to gather seed. I think they fare okay inside as long as you can get those foot candles. Lucky to be in California though! I have so many I wish I could keep outside but I'm in SWPA and summer is the only time for that unfortunately.,experience_sharing,
"What a difference. Interestingly, your inside oxalis closely resembles the oxalis I had outside briefly. He fried up from too much sun. Wish I could keep them outside like yours, the color is so vibrant.",experience_sharing,
"Mine look like regular clovers rn. How much light does yours get?

Edit: Im an idiot who cannot read, thank you for posting",information_seeking,
Does anyone have advice on having a purple oxalis in Florida? It just doesn’t seem to be thriving at all,information_seeking,
"I have an indoor oaxalis and fertilize it with flowering plant food every 3 weeks. It looks about the same as your outdoor plant, maybe a bit bigger. I got it in November.",experience_sharing,
I have to pull these and their green colored cousins out of my yard CONSTANTLY. They grow like weeds here. Literally. And they grow so fast!,experience_sharing,
"For the outside one, did it get full sun, partial, what? My indoor oxalis is leggy and I have been considering moving it outside :) thanks for your thoughts",information_seeking,
How do you slowly acclimate it?,information_seeking,
Why are mine green and have purple undersides? 🤔,information_seeking,
This is one of my favorite plants in my collection! He’s someone healthy inside. I’m in the process of ahem cough cough rearranging my entire bedroom to make more space to get more plants in better sun.,experience_sharing,
Give that left boy a growlight,recommendation,
"I had mine indoors for a while, never filled up the pot it was in, I decided to place it outdoors, like you, and it just exploded with growth and is constantly blooming now! Makes me sad I can’t have it inside, I love the purple so much! 💜",experience_sharing,
"Does anyone know how high of Temps or how much direct light an oxalis can take? Mine has been struggling indoors ever since I moved to Phoenix, but I'm scare to put it outside. Even in the shade, the Temps are still hot... And I worry shade might be less light than an indoor window.",information_seeking,
"Mine likes TONS of light, it's on the windowsill of a south facing window with about 6 hours of direct light. It's very happy and has more blooms than leaves at this point.",experience_sharing,